session_id,chat_messages,chat_captured_date,customer_sentiment,query_classification,customer_classification
e3890498-12a7-425b-8536-cbe436e3fef1,Hi I have concern on the delayed package. I just want to understand if Amazon is keeping track of all such complaints,17-12-2024,Negative,others,fence sitters
94f81443-33db-44a5-ae51-d7c681280681,Hi My package is delivered on time. I was happy to receive the package before the holiday time. Thank you Amazon.,17-12-2024,Positive,generic,happy
902265e3-6b09-4558-a421-7b29b6fca4ba,Hi I am happy to inform that my package was delivered before the schedule delivery date. Thank you Amazon.,17-12-2024,Positive,others,happy
dab65b82-f44f-4c0e-a5dd-219ccf312503,Hi I am John I have a concern on the condition of the package received. The package was open and delivered in a really bad condition. I am very upset about it.,17-12-2024,Negative,replacement,extremely unhappy
a81202f9-4f31-4cd8-92f6-34c31014c414,"Hi My package was delivered in bad condition , the package was open. Such a costly product should have been packaged with care.",17-12-2024,Negative,replacement,unhappy
4760c70f-3a23-4cb7-8b98-7bdc70efdc7d,"Hi  My package was delivered in bad condition , the package was open. Such a costly product should have been packaged with care. I am very upset about it. I feel like not ordering anything from Amazon in future.",17-12-2024,Negative,product related,extremely unhappy
3e6ea63b-4b2c-448a-b309-85d1ae326dbb,"Hi I have a nightmarish experience with Amazon. My package was delivered in bad condition , the package was open. Such a costly product should have been packaged with care.",17-12-2024,Neutral,product related,unhappy
aa83e9fe-0118-4ba9-8b32-b445925980c6,Hi I am looking for a phone. Could you please give options yes samsung phone I have bought a samsung galaxy s ultra. My experience is not so good about it. I returned it within 7 days. ,17-12-2024,Positive,refund,unhappy
e7bee2bb-dd4b-435a-8710-befedabfff4a,Hi I have bought a samsung galaxy s ultra. My experience is not so good about it. I returned it within 7 days.,17-12-2024,Negative,refund,unhappy
afedcbf2-9e38-41bd-994c-c8b877d6f1ad,"Hi , what are you upto Okay , i want to buy a phone . What options do you have
 Which phone has best user rating I want to buy Samsung Ultra
 Any other product in stock with lower price but have very good rating I want to buy Samsung Ultra
 I need to buy an google phone pls suggest
 Tell me which samsung phone is good based on the top review
 Please provide me the product specification of the product above
 Can you suggest an samsung phone under$200
 Is there any phone in stock pricing at $400
 II have made the order and the order number is 804-4506694-2924998 locate my order
 Please cancel this order and issue refund.
 do you remember the order number I asked for do you remember the order number you gave me last time cancel the order order number is 804-4506694-2924998. issue refund give the current status of the order 804-4506694-2924998 replace the order  replace the order 195-8673680-2369386",17-12-2024,Positive,product related,fence sitters
d8d0fab1-6b65-4968-9cf7-0c432a269f04,I want to order a replacement for the 195-8673680-2369386 Could you please provide the current status for the order 195-8673680-2369386,17-12-2024,Positive,replacement,fence sitters
